time,com,angle,finger
17:38:26.707,쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌牬ႎ읮,18,X
17:38:26.708,쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌牬ႎ읮,62,T
17:38:26.709,쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌牬ႎ읮,47,I
17:38:26.710,쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌牬ႎ읮,67,M
17:38:26.711,쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌牬ႎ읮,76,R
17:38:26.711,쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌牬ႎ읮,79,P
17:38:26.712,쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌牬ႎ읮,1,X
17:38:26.713,쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌牬ႎ읮,58,T
17:38:26.714,쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌牬ႎ읮,93,I
17:38:26.715,쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌牬ႎ읮,79,M
17:38:26.716,쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌牬ႎ읮,102,R
17:38:26.716,쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌牬ႎ읮,38,P
17:38:26.738,쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌牬ႎ읮,18,X
17:38:26.739,쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌牬ႎ읮,62,T
17:38:26.740,쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌牬ႎ읮,47,I
17:38:26.741,쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌牬ႎ읮,67,M
17:38:26.742,쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌牬ႎ읮,76,R
17:38:26.742,쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌牬ႎ읮,79,P
17:38:26.743,쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌牬ႎ읮,1,X
17:38:26.744,쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌牬ႎ읮,58,T
17:38:26.745,쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌牬ႎ읮,93,I
17:38:26.746,쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌牬ႎ읮,79,M
17:38:26.747,쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌牬ႎ읮,102,R
17:38:26.747,쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌牬ႎ읮,38,P
17:38:26.771,쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌牬ႎ읮,18,X
17:38:26.772,쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌牬ႎ읮,62,T
17:38:26.774,쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌牬ႎ읮,47,I
17:38:26.775,쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌牬ႎ읮,67,M
17:38:26.775,쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌牬ႎ읮,76,R
17:38:26.776,쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌牬ႎ읮,79,P
17:38:26.777,쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌牬ႎ읮,1,X
17:38:26.778,쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌牬ႎ읮,58,T
17:38:26.778,쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌牬ႎ읮,93,I
17:38:26.779,쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌牬ႎ읮,79,M
17:38:26.780,쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌牬ႎ읮,102,R
17:38:26.781,쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌牬ႎ읮,38,P
17:38:26.803,쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌牬ႎ읮,18,X
17:38:26.804,쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌牬ႎ읮,62,T
17:38:26.805,쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌牬ႎ읮,47,I
17:38:26.806,쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌牬ႎ읮,67,M
17:38:26.806,쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌牬ႎ읮,76,R
17:38:26.807,쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌牬ႎ읮,79,P
17:38:26.808,쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌牬ႎ읮,1,X
17:38:26.809,쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌牬ႎ읮,58,T
17:38:26.809,쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌牬ႎ읮,93,I
17:38:26.810,쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌牬ႎ읮,79,M
17:38:26.811,쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌牬ႎ읮,102,R
17:38:26.812,쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌牬ႎ읮,38,P
17:38:26.833,쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌牬ႎ읮,18,X
17:38:26.835,쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌牬ႎ읮,62,T
17:38:26.835,쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌牬ႎ읮,47,I
17:38:26.836,쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌牬ႎ읮,67,M
17:38:26.837,쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌牬ႎ읮,76,R
17:38:26.838,쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌牬ႎ읮,79,P
17:38:26.840,쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌牬ႎ읮,1,X
17:38:26.843,쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌牬ႎ읮,58,T
17:38:26.847,쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌牬ႎ읮,93,I
17:38:26.848,쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌牬ႎ읮,79,M
17:38:26.849,쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌牬ႎ읮,102,R
17:38:26.850,쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌牬ႎ읮,38,P
17:38:26.879,쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌牬ႎ읮,18,X
17:38:26.880,쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌牬ႎ읮,62,T
17:38:26.882,쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌牬ႎ읮,47,I
17:38:26.883,쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌牬ႎ읮,67,M
